clustid,db,recnum,nclust
30489432,709,930,2
30495068,709,945,3
30495068,829,2265,3
30495068,829,2241,3
30496730,829,2271,2
30496730,709,951,2
30501029,829,2279,2
30501029,709,960,2
30502972,829,2282,2
30502972,709,963,2
30503840,829,2285,2
30503840,709,966,2
30505568,829,2291,2
30505568,709,971,2
30506924,709,800,2
30506924,709,972,2
30507142,829,2294,2
30507142,709,975,2
30509898,829,2304,2
30509898,709,985,2
30512858,829,2315,2
30512858,709,996,2
30513395,829,2316,2
30513395,709,997,2
30514271,829,2318,2
30514271,709,999,2
30514488,829,2321,2
30514488,709,1002,2
30514698,829,2322,2
30514698,709,1003,2
30517499,709,1015,3
30517499,829,2334,3
30517499,829,5868,3
30519672,829,2337,3
30519672,709,802,3
30519672,709,1018,3
30521338,829,2339,3
30521338,709,1021,3
30521338,709,1342,3
30524624,829,2344,2
30524624,709,1026,2
30524994,709,1028,2
30524994,709,4289,2
30526868,829,2347,2
30526868,709,1031,2
30527507,709,953,3
30527507,829,2353,3
30527507,709,1037,3
30529613,709,1039,2
30529613,829,2355,2
30529675,709,1040,3
30529675,829,3103,3
30529675,829,2356,3
30529829,829,2359,2
30529829,709,1043,2
30530489,709,1047,2
30530489,829,2363,2
30530493,829,2364,2
30530493,709,1048,2
30534327,709,1060,4
30534327,829,2375,4
30534327,829,5862,4
30534327,709,1059,4
30534492,709,1062,2
30534492,829,2377,2
30540935,829,2395,2
30540935,709,1080,2
30541557,829,2396,2
30541557,709,1081,2
30541860,829,2398,2
30541860,709,1083,2
30541870,829,2399,2
30541870,709,4288,2
30541997,829,2401,2
30541997,709,1085,2
30543622,829,2405,2
30543622,709,1089,2
30543902,829,2407,2
30543902,709,1091,2
30544259,829,2409,2
30544259,709,1093,2
30544888,829,2413,2
30544888,709,1097,2
30544939,709,1098,2
30544939,829,2414,2
30545283,829,2417,2
30545283,709,1101,2
30545562,829,2418,2
30545562,709,1102,2
30547228,709,1106,2
30547228,829,2422,2
30549206,829,2430,2
30549206,709,1116,2
30553133,829,2445,2
30553133,709,1132,2
30555020,709,795,3
30555020,829,2449,3
30555020,709,1136,3
30555286,709,1138,2
30555286,829,2451,2
30555481,829,1317,3
30555481,829,2452,3
30555481,709,1139,3
30555500,709,1140,4
30555500,829,2453,4
30555500,829,5866,4
30555500,709,1108,4
30555538,829,2455,2
30555538,709,1142,2
30556482,709,4290,3
30556482,709,1145,3
30556482,829,2458,3
30560275,709,1154,2
30560275,829,2467,2
30565164,829,2478,3
30565164,709,4286,3
30565164,709,1165,3
30565931,709,1167,2
30565931,829,2480,2
30566873,829,2483,3
30566873,709,1170,3
30566873,709,796,3
30567071,829,2488,2
30567071,709,1175,2
30568220,829,2492,2
30568220,709,1179,2
30568657,829,2494,2
30568657,709,1181,2
30569625,709,1183,2
30569625,829,2496,2
30570960,709,1184,4
30570960,709,1185,4
30570960,829,5863,4
30570960,829,2499,4
30571079,829,2502,2
30571079,709,1188,2
30574285,829,2511,2
30574285,709,1196,2
30574733,829,2290,3
30574733,709,1198,3
30574733,829,5867,3
30575915,829,2514,2
30575915,709,1199,2
30576588,829,2516,2
30576588,709,1201,2
30577150,829,2518,2
30577150,709,1203,2
30579067,829,2524,2
30579067,709,1209,2
30579647,829,2525,2
30579647,709,1210,2
30579819,829,2526,2
30579819,709,1211,2
30580620,829,2529,2
30580620,709,1214,2
30582216,829,2536,2
30582216,709,1221,2
30582302,829,2537,2
30582302,709,1222,2
30582479,709,1223,3
30582479,829,2121,3
30582479,829,2538,3
30585128,829,2548,2
30585128,709,1234,2
30585129,829,2549,2
30585129,709,1235,2
30586673,829,2553,2
30586673,709,1240,2
30587051,829,2555,2
30587051,709,1242,2
30587361,829,2557,2
30587361,709,1244,2
30587667,829,2558,2
30587667,709,1245,2
30587982,829,2562,2
30587982,709,1249,2
30588200,829,2563,2
30588200,709,1250,2
30589003,829,2565,2
30589003,709,1252,2
30592752,829,2580,2
30592752,709,1267,2
30593239,709,1270,3
30593239,829,5869,3
30593239,829,2583,3
30598607,829,2596,2
30598607,709,1283,2
30599438,829,2600,2
30599438,709,1287,2
30600417,829,2605,2
30600417,709,1292,2
30600864,829,5861,3
30600864,829,2609,3
30600864,709,1296,3
30601374,709,1299,2
30601374,829,2612,2
30601395,709,1300,2
30601395,829,2613,2
30601787,829,2616,2
30601787,709,1303,2
30602257,829,2619,2
30602257,709,1307,2
30603169,829,2622,2
30603169,709,1310,2
